initial_stock_price,volatility,option_price,probability
100,0.100000,5.649902,0.000300
100,0.100000,4.531276,0.000300
100,0.100000,4.585945,0.000300
100,0.100000,14.439105,0.000300
100,0.100000,7.479233,0.000300
100,0.100000,11.440683,0.000300
100,0.100000,2.218328,0.000300
100,0.100000,4.678463,0.000300
100,0.100000,4.682669,0.000300
100,0.100000,7.344662,0.000300
100,0.100000,2.786051,0.000300
100,0.100000,11.634129,0.000300
100,0.100000,11.642540,0.000300
100,0.100000,2.777641,0.000300
100,0.100000,4.716312,0.000300
100,0.100000,5.540562,0.000300
100,0.100000,2.184685,0.000300
100,0.100000,5.675134,0.000300
100,0.100000,7.201680,0.000300
100,0.100000,5.494303,0.000300
100,0.100000,7.176447,0.000300
100,0.100000,2.743998,0.000300
100,0.100000,2.613631,0.000300
100,0.100000,2.735587,0.000300
100,0.100000,1.486595,0.000300
100,0.100000,2.588399,0.000300
100,0.100000,5.359732,0.000300
100,0.100000,2.601015,0.000300
100,0.100000,6.015768,0.000300
100,0.100000,6.469947,0.000300
100,0.100000,12.601362,0.000300
100,0.100000,6.041000,0.000300
100,0.100000,5.237776,0.000300
100,0.100000,6.057822,0.000300
100,0.100000,1.949185,0.000300
100,0.100000,6.062027,0.000300
100,0.100000,6.314349,0.000300
100,0.100000,1.793586,0.000300
100,0.100000,6.070438,0.000300
100,0.100000,12.693880,0.000300
100,0.100000,6.276500,0.000300
100,0.100000,6.268090,0.000300
100,0.100000,5.187312,0.000300
100,0.100000,1.831434,0.000300
100,0.100000,2.441212,0.000300
100,0.100000,1.932363,0.000300
100,0.100000,1.844051,0.000300
100,0.100000,1.852461,0.000300
100,0.100000,5.195723,0.000300
100,0.100000,1.860872,0.000300
100,0.100000,1.919747,0.000300
100,0.100000,5.216750,0.000300
100,0.100000,1.902926,0.000300
100,0.100000,5.212544,0.000300
100,0.100000,2.415980,0.000300
100,0.100000,6.486768,0.000300
100,0.100000,7.744171,0.000300
100,0.100000,2.474855,0.000300
100,0.100000,5.919045,0.000300
100,0.100000,1.516032,0.000300
100,0.100000,4.993865,0.000300
100,0.100000,5.902223,0.000300
100,0.100000,19.165930,0.000300
100,0.100000,2.579989,0.000300
100,0.100000,2.567373,0.000300
100,0.100000,1.574907,0.000300
100,0.100000,1.591729,0.000300
100,0.100000,1.595934,0.000300
100,0.100000,12.269139,0.000300
100,0.100000,5.048535,0.000300
100,0.100000,6.612929,0.000300
100,0.100000,6.591902,0.000300
100,0.100000,6.507795,0.000300
100,0.100000,5.321884,0.000300
100,0.100000,6.562465,0.000300
100,0.100000,2.529524,0.000300
100,0.100000,1.642193,0.000300
100,0.100000,2.521114,0.000300
100,0.100000,5.094794,0.000300
100,0.100000,5.098999,0.000300
100,0.100000,1.675836,0.000300
100,0.100000,2.361310,0.000300
100,0.100000,1.688452,0.000300
100,0.100000,1.999649,0.000300
100,0.100000,2.369721,0.000300
100,0.100000,1.717890,0.000300
100,0.100000,11.259852,0.000300
100,0.100000,2.891185,0.000300
100,0.100000,15.360079,0.000300
100,0.100000,0.553005,0.000300
100,0.100000,3.198177,0.000300
100,0.100000,10.439807,0.000300
100,0.100000,0.502541,0.000300
100,0.100000,4.026633,0.000300
100,0.100000,3.240230,0.000300
100,0.100000,3.261257,0.000300
100,0.100000,3.168739,0.000300
100,0.100000,0.460487,0.000300
100,0.100000,0.452076,0.000300
100,0.100000,8.888029,0.000300
100,0.100000,3.992990,0.000300
100,0.100000,3.976168,0.000300
100,0.100000,8.951110,0.000300
100,0.100000,4.093918,0.000300
100,0.100000,0.590853,0.000300
100,0.100000,8.345538,0.000300
100,0.100000,15.183454,0.000300
100,0.100000,0.738041,0.000300
100,0.100000,8.370770,0.000300
100,0.100000,3.076221,0.000300
100,0.100000,3.101453,0.000300
100,0.100000,0.691782,0.000300
100,0.100000,3.109864,0.000300
100,0.100000,4.123356,0.000300
100,0.100000,3.151918,0.000300
100,0.100000,3.126685,0.000300
100,0.100000,0.666550,0.000300
100,0.100000,8.602065,0.000300
100,0.100000,4.110740,0.000300
100,0.100000,0.616085,0.000300
100,0.100000,0.611880,0.000300
100,0.100000,3.286489,0.000300
100,0.100000,8.963726,0.000300
100,0.100000,0.410023,0.000300
100,0.100000,0.132469,0.000300
100,0.100000,3.707025,0.000300
100,0.100000,0.178728,0.000300
100,0.100000,3.690204,0.000300
100,0.100000,3.450498,0.000300
100,0.100000,9.384262,0.000300
100,0.100000,3.467320,0.000300
100,0.100000,9.943575,0.000300
100,0.100000,0.401612,0.000300
100,0.100000,0.098826,0.000300
100,0.100000,0.094621,0.000300
100,0.100000,3.505168,0.000300
100,0.100000,3.606097,0.000300
100,0.100000,3.589275,0.000300
100,0.100000,9.695458,0.000300
100,0.100000,0.191344,0.000300
100,0.100000,3.421061,0.000300
100,0.100000,9.321181,0.000300
100,0.100000,0.224987,0.000300
